Nama Data,Transkrip Suara (Bahasa Indonesia),Train (80%) / Test (10%) / Dev (10%)
TVRI_BS_071119_0001,"Hasil investigasi penyidik bareskrim polri menetapkan satu oknum polisi sebagai tersangka,",Train
TVRI_BS_071119_0002,yakni Brigadir AM dalam kasus kematian mahasiswa kendari saat berunjuk rasa di kantor DPRD Sultra pada 26 September 2019 lalu.,Train
TVRI_BS_071119_0003,"Menteri Pendidikan dan Kebudayaan Nadiem Makarim meninjau langsung 4 ruang kelas yang ambruk di SDN Gentong Pasruan, Jawa Timur.",Train
TVRI_BS_071119_0004,"Selamat malam Anda menyaksikan Indonesia hari ini, Kamis 7 November 2019 bersama saya, Happy Goeritman",Train
TVRI_BS_071119_0005,"Dan saya Ardianto Wijaya, selain dua topik utama tadi, tim redaksi kami tentunya telah menyiapkan sejumlah informasi untuk Anda.",Train
TVRI_BS_071119_0006,"Sebelum kita awal Indonesia hari ini, kami ingatkan kembali saudara untuk bisa mendukung program musik terfavorit TVRI dalam ajang Panasonic Gobel Awards",Train
TVRI_BS_071119_0007,dengan cara ketik PGA spasi 7C dan juga dukung program terfavorit Dunia Dalam Berita di ajang yang sama,Train
TVRI_BS_071119_0010,"Dan saudara, berikut Indonesia hari ini selengkapnya.",Train
TVRI_BS_071119_0013,"Dari hasil investigasi tersebut, penyidik menetapkan satu oknum polisi sebagai tersangka yaitu Brigadir AM.",Train
TVRI_BS_071119_0019,"Brigadir AM dijerat pasal 351 ayat 3 KUHP dan atau pasal 359 KUHP, subsider pasal 360 KUHP dengan ancaman pidana paling lama 7 tahun penjara.",Dev
TVRI_BS_071119_0020,Kami penyidik sudah melakukan gelar perkara dan menyimpulkan bahwasannya untuk Brigadir AM telah ditelapkan sebagai tersangka dengan dikenakan pasal 351 ayat 3 dan atau 359 KUHP subsidiare 360.,Train
TVRI_BS_071119_0022,Segera akan dilakukan penahanan dan berkas perkara segera dirimpahkan ke jaksa Penuntut umum,Train
TVRI_BS_071119_0025,Polri bekerja secara maksimal dan tanpa pandang bulu.,Train
TVRI_BS_071119_0028,"Kasubdit 5 dittipidum bareskrim Polri, Kombes Polisi chuzaini patoppoi mengatakan hasil uji balistik disimpulkan",Train
TVRI_BS_071119_0029,Dua proyektil dan dua selongsong peluru identik,Train
TVRI_BS_071119_0030,Dengan senjata api jenis HS yang diduga digunakan oleh Brigadir AM,Test
TVRI_BS_071119_0032,Tiga dari enam selongsong itu didapatkan dari ombudsman wilayah Sulawesi Tenggara.,Test
TVRI_BS_071119_0036,Unjuk rasa mahasiswa di depan kantor DPRD Sultra berakhir ricuh pada 27 September lalu.,Train
TVRI_BS_071119_0050,Segera akan dilakukan penahanan dan berkas perkara segera dilimpahkan ke jaksa penuntut umum,Test
TVRI_BS_071119_0056,Kasubdit 5 Direktorat Tindak Pidana Umum Bareskrim polri Kombespol chuzaini Patoppoi mengatakan hasil uji balistik disimpulkan dua proyektil dan dua selongsong peluru identik dengan senjata api jenis HS yang diduga digunakan oleh Brigadir AM.,Train
TVRI_BS_071119_0058,"Kita beralih ke sorotan lainnya, Polisi melakukan rangkaian pemeriksaan saksi atas peristiwa robohnya gedung sekolah di Kota Pasuruan, Jawa Timur.",Train
TVRI_BS_071119_0062,kabid humas Polda Jatim Kombes,Train
TVRI_BS_071119_0070,Bendahara Sekolah,Train
TVRI_BS_071119_0076,di lokasi kejadian untuk diperiksa di Laboratorium Forensik Polda Jatim.,Train
TVRI_BS_071119_0077,Hasil lapor akan keluar beberapa hari ke depan.,Train
TVRI_BS_071119_0078,Ambruknya empat gedung di SDN Gentong Pasuruan ini,Test
TVRI_BS_071119_0079,"mengakibatkan seorang guru dan seorang murid meninggal di lokasi,",Train
TVRI_BS_071119_0084,"Saudara Menteri Pendidikan dan Kebudayaan, Nadiem Makarim, meninjau SDN Gentong dan melakukan rapat bersama jajaran dinas pendidikan setempat.",Train
TVRI_BS_071119_0086,"Wira, selamat malam. Apa yang menjadi catatan penting dari evaluasi oleh Mendikbud atas insiden ini?",Train
TVRI_BS_071119_0088,"Ya, happy jaya dan saudara pasca ambruknya atap SDN Gentong di kecamatan Gading, Rejo, Kota Pasuruan, Jawa Timur beberapa saat yang lalu.",Train
TVRI_BS_071119_0089,"Kabarnya Menteri Pendidikan Republik Indonesia, Menteri Nadiem Makarim melakukan sidak dan juga meninjau secara langsung 4 ruang kelas yang ambruk beberapa saat yang lalu.",Dev
TVRI_BS_071119_0090,"Data yang kami peroleh bahwa Mendikbud Nadiem Makarim tiba di SDN Gentong bersama rombongan kamis siang, kemudian langsung berkeliling di area sekolah.",Train
TVRI_BS_071119_0092,Kedatangan Nadiem Makarim disambut Sekretaris Daerah Kota Pasuruan Bahrul Ulum dan Jajaran Pejabat Pemkot Pasuruan.,Train
TVRI_BS_071119_0097,"Siswa korban runtuhnya atap SDN Gentong Pasuruan, Jawa Timur",Train
TVRI_BS_071119_0098,Guna mengetahui secara pasti penyebab ambil empat atap kelas SD Negeri Gentong Kota Pasuruan ini,Train
